Latitude,Longitude,Gas.500
22.28178,114.158119,21
22.281033,114.155556,60
22.281347,114.156097,60
22.282255,114.183403,44
22.282068,114.183716,60
22.291046,114.200401,48
22.288038,114.193398,16
22.289305,114.194595,32
22.290882,114.19957,33
22.290335,114.196266,21
22.307684,113.937431,0
22.328264,114.026489,0
22.293648,113.954285,0
22.288511,113.941704,22
22.32926,114.19281,19
22.30871,114.183472,11
22.30822,114.18261,1
22.305309,114.189018,19
22.304314,114.189781,25
22.322269,114.187775,36
22.322517,114.188492,47
22.331003,114.209251,0
22.329807,114.210571,1
22.313473,114.225082,12
22.359156,114.120079,1
22.322437,114.168488,46
22.479305,114.153671,0
22.483934,114.152939,0
22.485229,114.151634,0
22.486422,114.148926,0
22.502703,114.12674,10
22.501835,114.127747,11
22.503145,114.126709,12
22.502909,114.129196,13
22.502756,114.129005,23
22.28321157,114.1274915,60
22.29623637,114.169187,37
22.37122313,114.1192341,46
22.28729469,114.2194235,2
22.2869666,114.1404524,18
22.27955909,114.1753619,8
22.28289357,114.2214009,60
22.26471868,114.2412192,18
22.31604882,114.1638282,4
22.3153622,114.1703765,60
22.31582284,114.17333,18
22.30532061,114.1716355,60
22.319197,114.264381,0
22.30481,114.253609,6
22.295401,114.273308,1
22.318102,114.258919,0
22.382202,114.270966,23
22.382029,114.273422,45
22.250355,114.170563,0
22.250242,114.169693,1
22.248503,114.161591,0
22.24844,114.162865,4
22.248964,114.154541,46
22.248861,114.153656,32
22.335512,114.159126,46
22.32981852,114.1634808,9
22.331707,114.161018,27
22.33087,114.163147,60
22.336992,114.147003,41
22.337011,114.147636,54
22.387529,114.19191,0
22.375786,114.177338,36
22.373907,114.178558,44
22.373739,114.178734,43
22.373489,114.178429,32
22.399603,113.976677,0
22.407349,113.97831,0
22.392607,113.978409,50
22.42411,114.21151,0
22.432402,114.201111,0
22.466461,114.151062,0
22.467472,114.151756,0
22.448586,114.167015,32
22.444649,114.166656,2
22.448412,114.167404,43
22.44903,114.166039,17
22.362509,114.117943,0
22.363968,114.119774,2
22.370623,114.114868,49
22.370039,114.115982,40
22.369081,114.116364,47
22.28006,114.184357,60
22.280136,114.185776,60
22.280802,114.185509,59
22.335403,114.203552,1
22.336203,114.207207,4
22.337051,114.206566,0
22.341753,114.195297,27
22.341745,114.193146,17
22.465837,114.053802,0
22.459059,114.052162,0
22.435471,114.020889,0
22.434603,114.025269,0
22.444628,114.02935,34
22.444323,114.029335,35
